uuid,First_Name,Middle_Name,Last_Name,Name_Data_Quality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,Black,NativeHIOtherPacific,White,RaceNone,Gender,OtherGender,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,Discharge_Status,Date_Created,DateUpdated,UserID
90077,Robert,J,Hanks,1,100090077,1,1/1/1953,1,0,0,1,0,0,0,1,0,1,1971,1973,0,0,0,0,0,0,0,0,4,2,3/14/2000 5:21,8/26/2015 1:52,182894
90703,J,N.,Jeppsen,1,100090703,1,1/1/1953,1,0,0,1,0,0,0,1,0,1,1971,1973,0,0,0,0,0,0,0,0,4,1,3/14/2000 5:21,2/10/2016 3:37,245092
90739,George,Kevin,Wickstrom,1,100090739,1,1/1/1971,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,1,0,0,0,0,,,3/14/2000 5:21,11/5/2015 2:23,239216
91161,Douglas,T,Andersen,1,100091161,1,1/1/1952,1,0,0,1,0,0,0,1,0,1,1970,1973,0,0,1,0,0,0,0,0,1,1,3/14/2000 5:21,12/16/2015 3:00,245092
91501,Raz,E,Antonson,1,NULL,99,NULL,0,0,0,1,0,0,0,1,0,1,1974,1977,0,0,0,0,0,0,0,0,2,1,3/14/2000 5:21,12/16/2015 1:59,245092
95126,Patricia,F,Benson,1,100095126,1,1/1/1980,1,0,0,1,0,0,0,0,0,1,2000,2003,0,0,0,0,0,0,0,0,2,1,6/5/2003 3:03,1/29/2016 10:16,246539
95759,Charles,A,Grace,1,100095759,1,1/1/1961,1,0,0,1,0,0,0,0,0,1,1982,1985,0,0,0,0,0,0,0,0,1,2,7/24/2003 11:57,12/15/2015 2:58,249221
98250,Clifford,A,Milligan,1,100098250,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1984,1987,0,0,0,0,0,0,0,0,1,1,2/18/2004 10:02,1/12/2016 12:54,246539
99577,M,G,West,1,100099577,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1980,1982,0,0,0,0,0,0,0,0,4,1,6/9/2004 2:11,12/2/2015 2:42,246539
101863,Karen,J Nathaniel,Benes,1,100101863,1,1/1/1960,1,0,0,1,0,0,0,1,0,1,1977,1983,0,0,0,0,0,0,0,0,1,1,12/20/2004 9:31,12/2/2015 1:45,246539
102242,Andy,Imgrund,Flindt,1,100102242,1,NULL,99,0,0,1,0,0,0,0,1,0,NULL,NULL,0,0,0,0,0,0,0,0,3,1,1/25/2005 8:39,2/6/2016 4:31,244492
105511,Melvin,J,Garthwaite,1,100105511,1,1/1/1962,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,1,0,0,0,0,1,1,10/3/2005 11:30,1/19/2016 8:55,249427
106089,Michael,Sik Yu,Philipp,1,100106089,1,1/1/1959,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,1,1,11/8/2005 2:03,2/10/2016 3:14,246539
106452,Timothy,W,Vaughn,1,100106452,1,1/1/1949,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,1,0,0,0,0,0,4,1,12/12/2005 10:07,10/6/2015 7:36,179269
107295,John,R,Gast,1,100107295,1,1/1/1974,1,0,0,1,0,0,0,1,0,1,1997,2000,0,0,0,0,0,0,0,0,3,1,3/6/2006 9:17,10/28/2015 2:49,246539
107564,Charles,M,Koepsel,1,100107564,1,NULL,99,0,0,1,0,0,0,1,0,1,1982,1985,0,0,0,0,0,0,0,0,1,1,3/28/2006 11:26,12/7/2015 1:31,246539
108499,David,W,Aagaard,1,100108499,1,1/1/1945,1,0,0,1,0,0,0,1,0,1,1963,1964,0,0,0,0,0,0,0,0,3,2,6/16/2006 11:07,10/15/2015 10:29,245092
110020,Robert,R,Long,1,100110020,1,1/1/1962,1,0,0,1,0,0,0,1,0,1,1992,1993,0,0,0,0,0,0,0,0,3,6,9/13/2006 9:31,2/29/2016 10:26,245094
110604,Keith,L,Campbell,1,100110604,1,1/1/1963,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,3,6,11/7/2006 9:16,10/14/2015 9:44,182894
111756,Larry,A,Kajisa,1,100111756,1,1/1/1963,1,0,0,1,0,0,0,0,0,1,1985,1989,0,0,0,0,0,0,0,0,1,1,3/21/2007 3:10,11/2/2015 12:28,245881
114272,Zeming,M,Siepmann,1,100114272,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1986,1990,0,0,0,0,0,0,0,0,1,1,10/17/2007 9:07,10/16/2015 10:19,245094
